,Codigo_Aviso,Valor_UF
190,4933138,7000.0
191,6433887,14700.0
192,6028952,4410.84
193,6726763,14800.0
194,5635327,2741.02
195,6038886,9136.74
196,5644628,2678.01
197,6710624,3472.0
198,5382474,7390.0
199,6426537,15490.0
200,6215542,4032.77
201,6720286,4410.84
202,3776733,4379.33
203,6603859,9690.0
204,6519938,2678.01
205,6701030,4900.0
206,5827842,9420.29
207,6275409,12000.0
208,6472606,3938.25
209,6351678,19500.0
210,6413962,10500.0
211,6500983,15122.87
212,6615140,3150.6
213,6360607,7200.0
214,6088760,2457.47
215,6382632,12000.0
216,6188570,2678.01
217,6615188,5100.0
218,6733893,1732.83
219,6599867,25267.8
220,6356091,26000.0
221,5584774,4095.78
222,6347291,28500.0
223,6277615,22390.0
224,6505448,5198.49
225,6722349,4960.0
226,6112257,5356.02
227,6712473,9250.0
228,4708360,22000.0
229,5853741,2299.62
230,6447872,31000.0
231,5563803,3200.0
232,6505395,11184.63
233,6508726,17600.0
234,5940868,12590.0
235,6465462,5828.61
236,6113389,5608.07
237,5718460,7403.59
238,6356312,7750.0
239,6430469,13000.0
240,6504587,9150.0
241,6513258,3103.34
242,6024178,6100.0
243,6603872,11600.0
244,6825129,5702.0
245,6818808,0.38
246,5237736,4946.44
247,5343678,13900.0
248,6118072,5009.45
249,6789219,6301.2
250,6810221,2553.0
251,5808249,7876.5
252,6610733,3550.72
253,6023575,3462.51
254,5628611,13200.0
255,6367823,29000.0
256,4690509,12602.39
257,5646284,23629.49
258,4838677,3990.0
259,6601205,1417.77
260,6609680,11490.0
261,6022837,2583.49
262,5334587,6931.32
263,5715362,6952.62
264,6181250,6200.0
265,5973260,20163.83
266,6547282,3717.71
267,6111575,13750.0
268,6719759,9451.8
269,6818705,5482.04
270,6513081,8254.57
271,6621195,3900.0
272,5054707,3400.0
273,5771611,2047.89
274,6547305,2457.47
275,6180456,3150.6
276,6825033,2520.48
277,6065310,16800.0
278,6721590,2362.95
279,6007807,27605.0
280,6491350,4725.9
281,6726246,15000.0
282,5058701,3213.61
283,5965354,5337.0
284,6693781,20750.0
285,5598978,17600.0
286,4966489,3780.72
287,4823949,46000.0
288,6474890,15122.87
289,5701773,7333.0
290,5211953,4253.31
291,6608339,16000.0
292,5445523,12100.0
293,4788551,7403.91
294,6618098,24500.0
295,6509682,6128.61
296,6467158,2835.54
297,6581931,9960.0
298,5462112,1417.77
299,6604311,1732.83
300,2935623,6175.17
301,6707786,18557.03
302,5177408,15000.0
303,6626000,5356.02
304,6457438,4398.24
305,3417405,10500.0
306,6661689,27500.0
307,6604888,7844.99
308,6824857,2000.0
309,6359377,4990.0
310,3676082,25000.0
311,6514336,5671.08
312,5890400,2804.03
313,6511151,8821.68
314,5400145,2047.89
315,5115641,13265.0
316,6182274,6000.0
317,6332316,9250.0
318,6024612,4348.0
319,6731516,5040.96
320,6144160,4500.0
321,6615017,2384.0
322,6682584,34000.0
323,6453979,16800.0
324,6719095,26000.0
325,5952940,2520.48
326,5614315,12602.39
327,6632126,4300.0
328,6004808,15122.87
329,6776151,2678.01
330,6775181,2142.41
331,6700709,15500.0
332,6717594,7876.5
333,6061089,6250.0
334,6722295,5356.02
335,6433906,10600.0
336,6457464,13500.0
337,6616214,8790.0
338,2988676,15000.0
339,5736052,16000.0
340,6824390,4568.37
341,6700582,9445.0
342,6720349,12499.0
343,6433986,3339.63
344,6457047,3938.25
345,6509674,1827.35
346,2577059,3050.0
347,3109583,9451.8
348,6712934,3022.0
349,5891319,2990.0
350,6834457,9451.8
351,6514704,9451.8
352,6128942,4410.84
353,6506227,8191.56
354,3154705,8328.0
355,5636677,2772.53
356,4958510,15000.0
357,4929761,3931.0
358,6722305,4725.9
359,5580645,24200.0
360,5389917,2678.01
361,6027751,1732.83
362,6018836,4410.84
363,3556511,15900.0
364,6701000,18700.0
365,6834313,2800.0
366,5331266,16000.0
367,5363152,24000.0
368,3020458,14807.81
369,6512748,5198.49
370,6651223,3371.14
371,6701125,11900.0
372,6528195,12950.0
373,6834307,2362.95
374,3429503,5000.0
375,4966205,5500.0
376,6399419,2205.42
377,6724093,6780.0
378,6789480,2832.39
379,4942750,2678.01
380,5624618,37000.0
381,6834201,8900.0
382,6351660,21300.0
383,5992878,3623.19
384,6397192,4662.89
385,6729778,3623.19
386,6787370,3465.66
387,6557739,16800.0
388,6511735,16800.0
389,6834179,5103.97
390,6045378,12300.0
